invoice_id,product_id,date
1000021,664,2022-05-27
1000274,875,2023-09-05
1000881,596,2022-08-20
100098,834,2023-02-18
1001163,228,2022-07-23
1001163,663,2022-07-19
1001163,962,2022-07-23
1001447,906,2023-05-16
1001459,869,2022-02-27
1001632,388,2023-05-09
1001782,8,2023-06-11
1001833,913,2022-10-14
1001947,830,2022-01-20
1002069,575,2022-09-24
1002381,880,2022-09-01
1002608,93,2022-09-11
1002707,945,2022-12-11
1002782,932,2022-06-14
1002789,745,2022-03-16
1002797,481,2022-08-28
1002833,915,2023-05-28
1002856,305,2022-03-09
1002884,845,2022-11-17
1002946,157,2022-06-17
1002978,952,2022-03-07
1003089,900,2023-03-30
1003232,384,2022-06-15
1003359,297,2022-06-07
10034,850,2022-08-06
1003452,819,2022-08-08
1003468,964,2022-03-04
1003522,943,2022-01-31
1003593,189,2022-04-08
1003621,601,2022-02-01
100386,72,2022-01-27
1003876,3,2022-01-28
1004162,839,2023-03-09
1004162,973,2023-03-06
1004219,598,2022-01-25
1004323,507,2022-08-10
1004323,769,2022-08-10
1004464,732,2022-02-14
1004773,250,2022-05-11
1004816,432,2023-07-18
1005361,300,2022-09-14
1005703,393,2022-04-30
1005831,776,2022-11-03
1005884,856,2022-05-16
1006112,161,2022-11-19
1006152,216,2022-05-17
1006182,827,2022-10-21
1006196,42,2023-03-10
1006424,924,2022-02-24
1006444,185,2023-04-25
1006512,641,2023-02-14
1006732,455,2023-05-26
100674,221,2023-04-21
100674,405,2023-04-20
1006788,542,2022-02-11
1006859,310,2023-05-19
1007038,591,2022-05-14
1007049,153,2023-03-22
1007162,380,2022-01-25
1007183,79,2022-02-18
1007321,107,2022-04-18
1007551,580,2023-04-21
1007894,293,2022-07-27
1008136,607,2022-04-07
1008136,888,2022-04-10
1008173,206,2022-09-15
1008674,339,2022-03-27
1008674,687,2022-03-19
1008721,457,2023-04-24
1008779,412,2023-03-17
1008929,132,2023-03-06
1009008,80,2022-11-22
1009008,106,2022-11-24
1009008,526,2022-11-28
1009279,184,2022-01-06
1009358,544,2022-02-24
1009392,445,2022-12-10
1009621,255,2022-07-06
1009634,566,2022-01-31
1009653,10,2022-05-26
1010166,390,2022-10-18
1010199,887,2022-07-15
1010199,888,2022-07-16
1010364,716,2022-01-17
1010614,276,2023-01-20
1010769,597,2022-07-10
1010769,606,2022-07-21
101097,565,2022-02-21
1011056,881,2022-05-08
1011112,375,2022-05-24
1011112,498,2022-06-05
1011112,637,2022-06-05
1011241,78,2023-02-21
1011347,457,2022-10-24
1011661,967,2022-12-16
1011852,93,2022-07-05
1011868,517,2023-09-07
1012152,340,2022-04-07
101239,324,2022-08-23
1012448,637,2023-08-17
1012448,818,2023-08-20
1012457,637,2022-06-14
1012652,640,2022-04-20
1012893,333,2022-01-25
1012893,510,2022-01-23
1012922,541,2023-08-18
1012994,281,2022-05-01
1013336,208,2022-03-07
1013336,305,2022-03-17
1013437,304,2023-01-17
1013619,301,2022-11-01
1013713,778,2022-12-12
1013718,545,2023-03-19
1013803,615,2022-02-10
1013858,740,2023-05-01
1013918,242,2022-02-05
1013918,944,2022-02-04
1014177,70,2022-02-03
1014177,469,2022-02-06
1014178,665,2023-06-17
1014222,811,2023-11-19
1014337,76,2022-04-10
1014476,125,2022-02-15
1014497,806,2022-03-13
1014497,947,2022-03-12
1014578,477,2023-07-01
1014614,474,2022-05-21
1014614,577,2022-05-14
1014636,368,2023-02-10
1014887,231,2022-10-19
1014921,599,2022-01-08
1015054,413,2022-08-28
1015062,488,2022-07-04
1015071,28,2022-11-06
1015071,126,2022-11-04
1015221,651,2023-12-06
101538,238,2023-08-31
1015637,323,2022-04-26
1015651,634,2022-11-08
1015724,504,2022-04-01
1015804,361,2023-04-18
1016252,158,2022-07-21
1016593,220,2022-11-08
1016853,89,2022-05-30
1016979,783,2022-03-31
1017159,12,2022-01-22
101731,319,2022-01-18
101731,552,2022-01-27
1017558,123,2022-04-11
1017636,572,2022-02-09
1017817,824,2023-11-20
1017888,364,2022-12-24
1018002,784,2022-03-04
1018012,729,2022-05-03
1018239,210,2023-06-24
1018461,353,2023-02-28
1018462,30,2022-10-09
1018479,121,2022-08-19
1018602,606,2023-10-23
1019106,493,2022-01-26
1019396,613,2022-02-16
1019548,614,2023-03-17
1019602,787,2022-10-01
1020133,498,2022-01-10
1020161,445,2022-04-29
1020186,152,2022-10-12
1020273,350,2022-01-11
1020284,872,2022-06-23
1020546,416,2022-01-26
1020546,619,2022-01-24
1020919,504,2022-05-05
102099,188,2022-05-14
1021156,401,2022-11-30
1021187,899,2022-01-21
1021198,351,2022-10-28
1021317,80,2022-02-26
102137,958,2022-04-25
1021438,508,2022-05-01
1021549,73,2023-05-29
1021586,647,2022-05-16
1021769,660,2022-12-27
102196,237,2022-07-23
1022196,143,2022-07-08
1022196,847,2022-07-14
1022367,236,2022-05-10
1022436,157,2023-06-27
1022436,601,2023-06-16
102253,919,2022-04-30
1022688,274,2023-05-17
102277,22,2023-02-18
1022828,975,2022-05-10
1023124,839,2022-12-01
1023291,303,2022-08-23
1023291,707,2022-08-25
1023398,955,2022-11-09
1023634,511,2023-05-08
1023819,277,2022-10-25
1023868,531,2023-01-26
1023886,480,2023-01-03
1024048,496,2023-07-20
1024232,656,2022-05-30
1024264,541,2023-07-17
1024384,645,2022-02-27
1024417,600,2022-08-26
1024712,460,2022-04-16
1024819,129,2022-04-30
1024819,725,2022-05-02
1024958,394,2023-03-24
1024963,792,2022-02-08
1024996,765,2023-04-08
1025071,144,2023-10-29
1025651,893,2023-04-18
102567,794,2023-05-23
1025914,765,2022-06-14
1026019,305,2022-02-02
1026136,955,2022-07-08
1026246,636,2022-01-19
1026403,350,2023-06-24
102659,744,2023-01-31
1026667,362,2022-01-26
1026667,492,2022-01-19
1026802,882,2022-08-12
10269,22,2023-10-16
102694,797,2023-05-26
1027056,730,2022-03-27
1027118,332,2022-08-26
1027118,717,2022-09-02
1027192,641,2023-02-24
1027342,117,2023-06-30
1027397,956,2023-04-29
1027449,471,2022-10-18
1027499,451,2022-10-26
102758,601,2022-02-22
1027668,887,2022-12-07
1027807,755,2022-02-16
1027893,341,2022-06-01
102792,418,2023-01-13
102792,763,2023-01-12
1027949,354,2022-07-09
1027964,404,2022-08-01
1027994,111,2022-02-09
1028072,33,2023-02-18
1028118,284,2022-10-20
1028589,122,2022-04-24
1028596,66,2022-04-04
1028698,447,2023-06-16
1029038,846,2022-01-19
1029302,236,2023-04-16
1029411,586,2022-03-07
1029441,957,2022-11-11
1029514,607,2022-03-20
1029811,608,2022-07-05
1029823,248,2022-05-04
1029953,217,2022-05-31
1029954,675,2023-01-07
1030058,705,2022-03-27
1030058,925,2022-03-20
1030279,34,2022-07-18
1030279,489,2022-07-25
1030366,295,2022-06-26
1030484,707,2022-09-13
1030528,792,2022-08-14
1030578,314,2022-01-05
1030834,651,2023-02-06
1030977,375,2022-07-22
1030994,384,2022-03-29
1031086,359,2022-05-29
1031113,113,2022-06-28
1031399,580,2022-02-14
1031401,213,2023-12-06
103141,491,2022-05-27
1031484,88,2022-02-06
1031512,329,2022-06-22
1031607,253,2022-04-22
1031639,360,2022-09-20
1031766,183,2022-05-19
103179,523,2022-03-19
1031823,179,2022-06-10
1032036,463,2023-08-13
1032208,413,2022-06-05
103241,722,2022-06-18
1032524,700,2022-01-03
1032524,846,2022-01-08
1032624,646,2022-07-28
1032683,675,2022-07-26
1032708,730,2022-10-04
1032741,568,2022-01-10
1033038,53,2022-10-17
1033183,135,2022-05-18
103338,25,2022-02-09
103338,773,2022-02-04
1033384,929,2023-06-29
1033639,927,2022-11-16
1033693,365,2022-10-30
1033699,517,2022-07-30
10338,212,2022-03-03
10338,516,2022-02-22
1033918,538,2023-01-11
1034042,467,2022-03-13
103406,271,2023-03-11
1034149,847,2022-04-03
103423,622,2023-03-20
1034366,528,2022-08-27
1034371,181,2022-01-24
1034484,754,2023-10-11
1034511,889,2022-09-21
1034597,711,2022-04-07
1034638,266,2022-04-23
1034684,976,2022-08-20
1035283,412,2022-05-04
103533,110,2022-01-11
1035376,675,2022-01-07
1035533,213,2023-03-25
1035922,173,2022-06-07
1036004,667,2022-03-19
1036372,758,2022-03-21
1036489,518,2022-07-05
1036791,786,2022-01-25
1036974,512,2022-07-10
1037074,600,2022-12-31
1037197,966,2022-11-10
1037367,112,2022-02-01
1037549,215,2022-05-11
1037714,660,2022-12-09
1037718,262,2022-02-21
1037733,734,2022-03-16
1037856,91,2022-07-26
1037883,363,2022-03-22
1037883,950,2022-03-28
103791,53,2022-01-15
1037912,172,2022-05-13
1038077,483,2022-06-28
1038116,514,2022-01-26
1038176,354,2022-08-29
103818,901,2022-01-17
1038298,420,2022-03-31
103837,886,2022-07-30
1038823,106,2022-04-30
1039187,495,2023-09-03
1039261,220,2022-07-13
1039282,452,2022-05-15
1039361,849,2022-08-13
1039364,257,2022-01-15
1039441,719,2023-11-29
1039444,382,2023-03-22
1039444,530,2023-03-22
1039446,32,2022-06-09
1039503,751,2022-01-06
1039836,101,2022-03-13
1039961,470,2022-05-18
1040082,970,2022-05-04
1040221,306,2022-07-05
1040272,675,2022-05-11
1040397,520,2022-02-08
1040589,694,2022-10-20
1040857,406,2022-06-21
1041109,552,2022-02-16
1041168,373,2022-11-10
1041386,574,2022-11-12
1041391,203,2022-04-15
1041394,288,2022-05-22
1041439,424,2022-05-01
1041809,157,2022-10-07
1041861,564,2022-11-26
104194,670,2023-01-24
1041952,556,2022-02-15
1042072,472,2023-05-09
1042236,974,2022-10-31
104239,820,2023-09-06
1042529,726,2023-09-03
1042601,617,2023-01-11
1042744,664,2022-01-04
1042744,884,2022-01-11
1042772,429,2022-02-23
104291,236,2023-01-29
1042923,437,2022-02-10
104298,391,2022-04-16
104298,436,2022-04-14
104298,555,2022-04-08
1043014,392,2023-09-11
1043768,396,2022-05-28
1043806,831,2022-05-29
1043868,906,2022-05-14
1044329,223,2022-03-07
1044408,564,2022-06-10
1044682,906,2022-05-02
104469,97,2022-05-18
104469,185,2022-05-11
1044702,595,2022-09-17
104472,148,2022-09-13
1044871,361,2022-06-30
1044928,124,2023-02-19
1045491,693,2023-02-24
1045579,475,2023-03-16
1045958,266,2022-05-01
1046052,801,2022-07-01
1046052,944,2022-07-05
1046088,695,2023-05-22
1046132,706,2022-11-05
1046166,30,2022-09-23
1046209,549,2022-02-05
1046284,249,2022-10-30
104659,44,2022-06-12
1046943,719,2024-01-04
1047081,466,2022-11-22
1047112,390,2022-04-15
1047112,498,2022-04-06
1047253,860,2023-06-27
1047444,45,2023-04-20
1047646,678,2022-02-13
1047763,873,2023-07-05
1047771,736,2022-07-30
1047788,689,2022-03-26
1047838,526,2022-02-16
1047842,928,2023-01-04
1047954,179,2022-12-13
1048156,554,2022-12-24
10484,812,2022-05-23
1048408,530,2022-10-03
1048477,564,2022-04-05
1048693,234,2023-08-16
1048772,733,2022-06-22
1048946,517,2022-04-26
1049036,975,2023-04-30
1049048,80,2022-03-06
1049048,162,2022-03-09
1049143,330,2022-02-11
1049199,282,2022-03-08
1049228,285,2022-06-25
1049514,275,2022-06-17
1049533,832,2022-03-27
1049646,533,2022-07-23
1049677,51,2023-03-13
1049737,284,2022-02-18
1049902,87,2022-05-26
1049914,550,2022-02-15
1050209,735,2022-04-27
1050279,900,2022-07-15
105032,226,2023-04-04
105053,657,2022-10-15
1050679,797,2022-05-26
1050731,931,2022-04-02
1050928,158,2023-03-02
1051507,114,2022-07-06
1051727,718,2023-01-31
1051884,551,2022-12-04
1052024,114,2022-04-27
1052042,439,2022-04-20
1052096,927,2022-11-27
105214,750,2022-11-29
1052253,489,2022-02-08
1052322,580,2022-12-16
1052387,804,2022-03-29
1052577,941,2023-01-15
1052632,338,2022-06-01
1052632,562,2022-06-06
1053071,338,2022-12-24
1053507,808,2023-08-29
1053732,552,2022-01-14
1053732,808,2022-01-21
105387,154,2022-05-08
1053937,399,2022-09-05
1054004,869,2022-06-03
1054072,761,2022-09-11
1054297,648,2022-11-12
1054426,575,2022-03-01
105451,411,2022-06-01
105461,391,2022-11-05
1054642,893,2023-01-20
1054728,38,2024-01-03
105478,393,2022-03-03
1054788,699,2022-08-27
105489,735,2023-10-02
1054971,366,2022-02-26
1055298,601,2022-11-20
1055339,282,2022-03-10
1055339,971,2022-03-19
1055604,185,2023-05-02
1055702,247,2022-06-09
1055738,827,2022-02-28
105578,43,2022-07-20
1055784,310,2023-04-16
